#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	437	0.050	264
0.075	438	0.101	289
0.125	437	0.151	325
0.177	438	0.202	369
0.227	439	0.252	421
0.278	439	0.304	473
0.328	440	0.354	526
0.379	441	0.405	578
0.430	442	0.455	626
0.481	443	0.506	665
0.531	447	0.557	697
0.582	448	0.608	717
0.632	452	0.658	720
0.684	456	0.709	717
0.734	458	0.759	700
0.785	461	0.811	673
0.836	463	0.861	635
0.886	465	0.912	590
0.937	466	0.962	541
0.988	466	1.013	487
1.039	467	1.063	433
1.089	463	1.115	382
1.140	460	1.165	338
1.190	456	1.216	301
1.242	451	1.266	274
1.292	446	1.317	257
1.343	439	1.368	256
1.393	434	1.419	265
1.444	427	1.469	284
1.495	422	1.520	317
1.546	418	1.570	356
1.596	416	1.622	404
1.647	411	1.672	454
1.697	413	1.723	506
1.748	414	1.773	557
1.799	419	1.824	605
1.850	423	1.874	645
1.900	428	1.926	679
1.951	437	1.976	702
2.001	446	2.027	713
2.053	455	2.077	710
2.103	464	2.128	699
2.154	472	2.179	677
2.204	480	2.230	644
2.255	484	2.280	604
2.306	490	2.331	557
2.357	493	2.381	507
2.407	493	2.433	455
2.458	489	2.483	406
2.508	485	2.534	361
2.560	476	2.584	323
2.610	468	2.635	293
2.661	457	2.685	274
2.711	446	2.737	267
2.762	433	2.787	271
2.812	422	2.838	285
2.864	410	2.888	311
2.914	401	2.939	347
2.965	394	2.990	388
3.015	389	3.041	435
3.066	386	3.091	485
3.117	388	3.142	534
3.168	393	3.192	581
3.218	399	3.244	623
3.269	409	3.294	658
3.319	420	3.345	683
3.371	434	3.395	698
3.421	449	3.446	702
3.472	464	3.496	694
3.522	478	3.548	677
3.573	492	3.599	651
3.623	503	3.649	612
3.675	511	3.700	570
3.725	516	3.750	525
3.776	518	3.802	476
3.826	515	3.852	428
3.877	510	3.903	383
3.928	500	3.953	345
3.979	489	4.004	313
4.029	473	4.055	292
4.080	456	4.106	280
4.130	438	4.156	280
4.182	420	4.207	290
4.232	404	4.257	313
4.283	390	4.308	341
4.333	376	4.359	378
4.384	368	4.410	421
4.434	364	4.460	468
4.486	363	4.511	514
4.536	367	4.561	559
4.587	375	4.613	600
4.637	387	4.663	636
4.688	402	4.714	663
4.739	420	4.764	680
4.790	440	4.815	686
4.840	460	4.866	684
4.891	481	4.917	672
4.941	499	4.967	649
4.993	515	5.018	618
5.043	528	5.068	581
5.094	537	5.120	540
5.144	542	5.170	495
5.195	541	5.221	449
5.245	535	5.271	407
5.297	524	5.322	369
5.347	508	5.372	338
5.398	490	5.424	313
5.448	469	5.474	300
5.499	446	5.525	295
5.550	424	5.575	301
5.601	401	5.626	317
5.651	382	5.677	342
5.702	365	5.728	373
5.752	352	5.778	410
5.804	343	5.829	452
5.854	340	5.879	495
5.905	344	5.931	537
5.955	352	5.981	577
6.006	364	6.032	612
6.056	382	6.082	640
6.108	404	6.133	660
6.158	427	6.183	669
6.209	453	6.235	670
6.259	478	6.285	662
6.310	502	6.336	644
6.361	523	6.386	621
6.412	541	6.437	588
6.462	554	6.488	550
6.513	560	6.539	511
6.563	562	6.589	469
6.615	557	6.640	429
6.665	547	6.690	393
6.716	530	6.742	361
6.766	510	6.792	337
6.817	485	6.843	319
6.867	458	6.893	313
6.919	431	6.944	315
6.969	403	6.994	326
7.020	379	7.046	344
7.070	355	7.096	372
7.121	339	7.147	404
7.172	327	7.197	441
7.223	321	7.248	479
7.273	321	7.299	518
7.324	329	7.350	555
7.374	342	7.400	588
7.426	361	7.451	615
7.476	385	7.501	636
7.527	412	7.553	648
7.577	441	7.603	652
7.628	471	7.654	648
7.678	500	7.704	638
7.730	527	7.755	616
7.780	549	7.805	589
7.831	566	7.857	557
7.881	577	7.907	522
7.932	580	7.958	485
7.983	579	8.008	449
8.034	568	8.059	415
8.084	552	8.110	386
8.135	530	8.161	362
8.185	503	8.211	345
8.237	473	8.262	336
8.287	441	8.312	333
8.338	409	8.364	340
8.388	380	8.414	355
8.439	352	8.465	376
8.489	331	8.515	402
8.541	316	8.566	434
8.591	306	8.616	467
8.642	304	8.668	501
8.692	309	8.718	535
8.743	322	8.769	565
8.794	341	8.819	591
8.845	366	8.870	611
8.896	395	8.921	625
8.946	427	8.972	631
8.997	461	9.022	630
9.048	494	9.073	623
9.099	527	9.123	607
9.149	552	9.175	586
9.200	573	9.225	560
9.250	588	9.276	529
9.302	596	9.326	499
9.352	596	9.377	467
9.403	588	9.427	437
9.453	572	9.479	409
9.504	550	9.529	387
9.554	522	9.580	371
