#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	678	0.050	279
0.075	639	0.101	315
0.127	591	0.151	361
0.177	531	0.202	413
0.228	466	0.253	467
0.278	398	0.304	523
0.329	332	0.354	576
0.380	269	0.405	626
0.431	215	0.455	665
0.481	172	0.506	697
0.532	141	0.557	715
0.582	123	0.608	718
0.633	125	0.658	710
0.684	144	0.709	691
0.735	175	0.759	659
0.785	218	0.811	618
0.836	272	0.861	569
0.886	335	0.912	515
0.938	403	0.962	460
0.988	470	1.013	405
1.039	534	1.064	352
1.089	593	1.115	309
1.140	640	1.165	276
1.191	675	1.216	253
1.242	699	1.267	242
1.292	706	1.318	246
1.343	695	1.369	262
1.393	670	1.419	290
1.444	632	1.470	329
1.495	582	1.520	376
1.546	523	1.571	427
1.596	458	1.622	482
1.647	392	1.673	537
1.697	328	1.723	587
1.749	268	1.774	632
1.799	217	1.824	670
1.850	176	1.876	697
1.900	147	1.926	712
1.951	133	1.977	711
2.002	135	2.027	701
2.053	153	2.078	680
2.103	183	2.129	647
2.154	225	2.180	605
2.204	280	2.230	555
2.255	340	2.281	502
2.306	405	2.331	448
2.357	470	2.382	395
2.407	532	2.433	348
2.458	587	2.484	306
2.508	634	2.534	275
2.560	669	2.585	253
2.610	692	2.635	246
2.661	697	2.687	253
2.711	686	2.737	271
2.762	662	2.788	301
2.813	624	2.838	339
2.864	577	2.889	387
2.914	520	2.940	438
2.965	457	2.991	491
3.015	394	3.041	545
3.066	331	3.092	594
3.117	272	3.142	638
3.168	221	3.193	674
3.218	180	3.244	698
3.269	152	3.295	709
3.319	139	3.345	707
3.371	141	3.396	695
3.421	161	3.446	671
3.472	190	3.498	638
3.522	232	3.548	594
3.573	284	3.599	544
3.624	343	3.649	492
3.675	406	3.700	437
3.725	470	3.751	385
3.776	531	3.802	339
3.826	585	3.852	300
3.878	630	3.903	271
3.928	664	3.953	253
3.979	685	4.004	250
4.029	690	4.055	257
4.080	680	4.106	277
4.130	656	4.156	309
4.182	618	4.207	349
4.232	571	4.257	397
4.283	515	4.309	450
4.333	454	4.359	504
4.384	391	4.410	555
4.435	329	4.460	604
4.486	273	4.511	645
4.536	224	4.562	678
4.587	186	4.613	701
4.637	158	4.663	708
4.689	146	4.714	704
4.739	152	4.764	690
4.790	169	4.815	664
4.840	199	4.866	628
4.891	239	4.917	584
4.941	291	4.967	534
4.993	350	5.018	481
5.043	411	5.068	425
5.094	473	5.120	377
5.144	531	5.170	332
5.195	584	5.221	295
5.246	627	5.271	267
5.297	659	5.322	253
5.347	678	5.373	252
5.398	681	5.424	262
5.448	670	5.474	284
5.500	646	5.525	317
5.550	609	5.575	359
5.601	562	5.626	408
5.651	508	5.677	460
5.702	448	5.728	513
5.752	387	5.778	564
5.804	329	5.829	611
5.854	275	5.879	652
5.905	228	5.931	682
5.955	191	5.981	703
6.006	166	6.032	707
6.057	156	6.082	702
6.108	163	6.133	686
6.158	180	6.184	658
6.209	207	6.235	621
6.259	248	6.285	575
6.311	299	6.336	525
6.361	355	6.386	472
6.412	414	6.438	419
6.462	474	6.488	369
6.513	530	6.539	326
6.563	580	6.589	290
6.615	621	6.640	265
6.665	652	6.690	252
6.716	669	6.742	253
6.766	671	6.792	265
6.817	660	6.843	289
6.868	638	6.893	324
6.919	600	6.944	369
6.969	554	6.995	416
7.020	502	7.046	472
7.070	444	7.096	523
7.122	385	7.147	571
7.172	328	7.197	619
7.223	276	7.249	658
7.273	231	7.299	688
7.324	196	7.350	705
7.374	174	7.400	708
7.426	164	7.451	701
7.476	172	7.501	682
7.527	189	7.553	653
7.577	218	7.603	615
7.628	257	7.654	568
7.679	305	7.704	516
7.730	361	7.755	464
7.780	418	7.806	410
7.831	476	7.857	362
7.881	530	7.907	319
7.933	578	7.958	286
7.983	618	8.008	262
8.034	646	8.060	252
8.084	661	8.110	254
8.135	664	8.161	268
8.185	651	8.211	294
8.237	628	8.262	331
8.287	591	8.312	375
8.338	545	8.364	425
8.388	493	8.414	478
8.439	438	8.465	533
8.491	381	8.515	580
8.541	326	8.566	626
8.592	277	8.617	663
8.642	234	8.668	691
8.693	202	8.718	707
8.744	181	8.769	708
8.795	175	8.819	699
8.845	183	8.871	680
8.896	200	8.921	649
8.946	228	8.972	608
8.998	268	9.022	562
9.048	316	9.073	510
9.099	369	9.123	456
9.149	425	9.175	404
9.200	480	9.225	357
9.250	531	9.276	315
9.302	577	9.326	283
9.352	613	9.377	260
9.403	639	9.428	252
9.453	653	9.479	255
9.504	652	9.529	272
9.555	638	9.580	299
9.606	615	9.630	336
9.656	580	9.682	382
9.707	536	9.732	432
9.757	485	9.783	487
9.809	431	9.833	538
9.859	377	9.884	587
9.910	325	9.934	632
9.960	277	9.986	668
10.011	237	10.036	695
10.061	208	10.087	709
10.113	189	10.137	708
10.163	185	10.188	698
10.214	194	10.239	677
10.264	211	10.290	644
10.315	240	10.340	604
10.366	279	10.391	556
10.417	325	10.441	504
10.467	377	10.493	449
10.518	431	10.543	397
10.568	484	10.594	351
10.620	532	10.644	311
10.670	576	10.695	278
10.721	608	10.745	258
10.771	633	10.797	252
10.822	644	10.847	257
10.872	643	10.898	275
10.924	629	10.948	303
10.974	604	10.999	342
11.025	569	11.050	387
11.075	526	11.101	438
11.126	476	11.151	490
11.177	424	11.202	544
11.228	372	11.252	592
11.278	322	11.304	636
11.329	277	11.354	671
11.379	240	11.405	697
11.431	212	11.455	709
11.481	197	11.506	708
11.532	195	11.556	697
11.582	204	11.608	674
11.633	222	11.659	641
11.683	252	11.709	599
11.735	290	11.760	550
11.785	336	11.810	498
11.836	386	11.862	445
11.886	438	11.912	393
11.937	488	11.963	346
11.988	535	12.013	307
12.039	574	12.064	276
12.089	606	12.115	257
12.140	627	12.166	253
12.190	636	12.216	259
12.242	633	12.267	276
12.292	618	12.317	307
12.343	593	12.369	346
12.393	558	12.419	392
12.444	515	12.470	443
12.494	466	12.520	496
12.546	416	12.571	549
12.596	366	12.621	596
12.647	318	12.673	640
12.697	276	12.723	674
12.748	242	12.774	699
12.799	217	12.824	708
12.850	205	12.875	707
12.900	204	12.926	695
12.951	213	12.977	671
13.001	233	13.027	637
13.053	263	13.078	595
13.103	302	13.128	546
13.154	347	13.180	493
13.204	396	13.230	441
13.255	446	13.281	389
13.305	493	13.331	344
13.357	537	13.382	304
13.407	574	13.432	276
13.458	603	13.484	258
13.508	622	13.534	254
13.559	629	13.585	261
13.610	624	13.635	279
13.661	608	13.686	312
13.711	581	13.737	350
13.762	546	13.788	397
13.812	504	13.838	448
13.864	457	13.889	499
13.914	408	13.939	552
13.965	360	13.991	601
14.015	315	14.041	643
14.066	275	14.092	676
14.116	243	14.142	699
14.168	221	14.193	709
14.218	211	14.243	706
14.269	213	14.295	693
14.319	224	14.345	669
14.370	244	14.396	635
14.421	274	14.446	593
14.472	314	14.497	543
14.522	358	14.548	491
14.573	405	14.599	437
14.623	453	14.649	388
14.675	499	14.700	340
14.725	542	14.750	304
14.776	575	14.802	276
14.826	602	14.852	258
14.877	617	14.903	256
14.927	621	14.953	263
14.979	615	15.004	283
15.029	598	15.054	314
15.080	570	15.106	354
15.130	534	15.156	401
15.181	492	15.207	452
15.232	446	15.257	505
15.283	399	15.308	556
15.334	353	15.359	603
15.384	310	15.410	644
15.435	273	15.460	677
15.486	244	15.511	698
15.537	225	15.561	707
15.587	218	15.613	703
15.638	220	15.663	688
15.688	233	15.714	665
15.740	256	15.764	630
15.790	287	15.815	587
15.841	326	15.865	539
15.891	369	15.917	487
15.942	415	15.967	434
15.992	462	16.018	384
16.044	504	16.068	340
16.094	545	16.119	303
16.145	577	16.170	276
16.195	599	16.221	260
16.246	612	16.271	258
16.297	613	16.322	267
16.348	606	16.372	286
16.398	586	16.424	319
16.449	558	16.474	358
16.499	523	16.525	405
16.551	481	16.575	457
16.601	436	16.626	508
16.652	391	16.676	557
16.702	346	16.728	604
16.753	305	16.778	644
16.803	271	16.829	676
16.855	245	16.879	697
16.905	228	16.930	704
16.956	223	16.981	701
17.006	229	17.032	686
17.057	241	17.082	661
17.108	266	17.133	626
17.159	299	17.183	581
17.209	337	17.235	535
17.260	380	17.285	483
17.310	426	17.336	432
17.362	470	17.386	383
17.412	512	17.437	340
17.463	548	17.487	304
17.513	578	17.539	278
17.564	599	17.589	264
17.614	608	17.640	262
17.666	608	17.690	270
17.716	598	17.741	292
17.767	578	17.792	322
17.817	548	17.843	363
17.868	511	17.893	409
17.919	469	17.944	459
17.970	426	17.994	511
18.020	381	18.046	560
18.071	338	18.096	605
18.121	300	18.147	644
18.173	269	18.197	675
18.223	244	18.248	695
18.274	231	18.298	702
18.324	229	18.350	696
18.375	235	18.401	682
18.425	251	18.451	656
18.477	277	18.502	622
18.527	309	18.552	579
