#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	297	0.051	354
0.076	323	0.102	403
0.127	353	0.153	459
0.177	387	0.203	517
0.229	422	0.254	579
0.279	458	0.304	638
0.330	491	0.356	691
0.380	522	0.406	736
0.431	548	0.457	770
0.481	568	0.507	793
0.533	580	0.558	802
0.583	584	0.608	795
0.634	579	0.660	778
0.684	569	0.710	749
0.735	549	0.761	708
0.786	526	0.811	659
0.837	493	0.862	603
0.887	460	0.913	543
0.938	423	0.964	483
0.988	388	1.014	427
1.040	352	1.065	376
1.090	321	1.115	335
1.141	295	1.167	303
1.191	276	1.217	282
1.242	263	1.268	277
1.292	260	1.318	285
1.344	261	1.369	306
1.394	272	1.419	339
1.445	290	1.471	381
1.495	315	1.521	430
1.546	345	1.572	486
1.597	379	1.622	544
1.648	415	1.673	599
1.698	452	1.724	652
1.749	487	1.775	700
1.799	520	1.825	739
1.851	548	1.876	769
1.901	568	1.926	786
1.952	582	1.978	789
2.002	588	2.028	779
2.053	585	2.079	761
2.103	574	2.129	729
2.155	555	2.180	688
2.205	530	2.230	639
2.256	498	2.282	586
2.306	464	2.332	530
2.357	427	2.383	474
2.408	391	2.433	422
2.459	356	2.484	376
2.509	324	2.535	338
2.560	296	2.586	308
2.610	276	2.636	292
2.662	262	2.687	290
2.712	257	2.737	300
2.763	259	2.789	322
2.813	269	2.839	354
2.864	286	2.890	396
2.914	310	2.940	444
2.966	340	2.991	498
3.016	374	3.041	553
3.067	409	3.093	609
3.117	447	3.143	659
3.168	483	3.194	702
3.219	516	3.244	740
3.270	546	3.295	766
3.320	567	3.346	778
3.371	582	3.397	777
3.421	589	3.447	766
3.473	589	3.498	745
3.523	579	3.548	713
3.574	561	3.600	671
3.624	537	3.650	622
3.675	506	3.701	569
3.725	472	3.751	514
3.777	434	3.802	462
3.827	397	3.852	411
3.878	360	3.904	368
3.928	326	3.954	334
3.979	298	4.005	311
4.031	274	4.055	300
4.081	258	4.106	302
4.132	252	4.157	315
4.182	252	4.208	340
4.233	262	4.258	375
4.284	278	4.309	418
4.335	303	4.359	467
4.385	334	4.411	519
4.436	368	4.461	572
4.486	406	4.512	622
4.538	444	4.562	668
4.588	482	4.613	707
4.639	518	4.663	738
4.689	548	4.715	758
4.740	572	4.765	765
4.790	589	4.816	760
4.842	596	4.866	748
4.892	596	4.917	724
4.943	587	4.968	690
4.993	569	5.019	649
5.044	543	5.069	602
5.095	511	5.120	553
5.146	476	5.170	500
5.196	436	5.222	453
5.247	397	5.272	409
5.297	358	5.323	371
5.349	322	5.373	342
5.399	292	5.424	322
5.450	269	5.474	316
5.500	252	5.526	319
5.551	246	5.576	334
5.601	246	5.627	360
5.653	255	5.677	393
5.703	274	5.728	434
5.754	298	5.779	480
5.804	331	5.830	529
5.855	367	5.880	578
5.906	405	5.931	625
5.957	449	5.981	667
6.007	486	6.033	704
6.058	522	6.083	731
6.108	554	6.134	749
6.160	579	6.184	751
6.210	595	6.235	746
6.261	603	6.285	732
6.311	603	6.337	708
6.362	593	6.387	674
6.412	573	6.438	635
6.464	547	6.488	590
6.514	513	6.539	542
6.565	475	6.590	494
6.615	436	6.641	448
6.666	394	6.691	407
6.717	354	6.742	373
6.768	317	6.792	348
6.818	286	6.844	331
6.869	261	6.894	328
6.919	245	6.945	334
6.971	239	6.995	349
7.021	240	7.046	376
7.072	250	7.096	411
7.122	269	7.148	451
7.173	295	7.199	496
7.223	329	7.249	542
7.275	367	7.300	588
7.325	408	7.350	631
7.376	450	7.402	669
7.426	491	7.452	700
7.477	528	7.503	722
7.528	562	7.553	735
7.579	587	7.604	737
7.629	604	7.655	730
7.680	612	7.706	714
7.730	610	7.756	688
7.782	598	7.807	656
7.832	576	7.857	617
7.883	550	7.909	575
7.933	514	7.959	531
7.984	474	8.010	486
8.034	431	8.060	446
8.086	389	8.111	409
