#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	500	0.050	146
0.076	503	0.101	144
0.127	500	0.151	142
0.177	501	0.202	144
0.228	501	0.253	143
0.278	501	0.304	144
0.329	500	0.354	142
0.380	501	0.405	147
0.431	500	0.455	143
0.481	500	0.507	143
0.532	501	0.557	144
0.582	501	0.608	145
0.634	500	0.658	145
0.684	500	0.709	143
0.735	503	0.760	144
0.785	500	0.811	150
0.836	500	0.861	170
0.887	500	0.912	207
0.938	500	0.962	254
0.988	500	1.014	310
1.039	501	1.064	370
1.089	500	1.115	432
1.140	500	1.165	496
1.191	500	1.216	553
1.242	501	1.266	607
1.292	500	1.318	650
1.343	501	1.368	684
1.393	501	1.419	706
1.445	500	1.469	712
1.495	500	1.520	704
1.546	501	1.571	686
1.596	501	1.622	654
1.647	501	1.672	614
1.698	501	1.723	563
1.749	501	1.773	506
1.799	502	1.825	446
1.850	502	1.875	385
1.900	502	1.926	326
1.951	501	1.976	273
2.002	500	2.027	230
2.053	500	2.077	196
2.103	500	2.129	174
2.154	500	2.179	167
2.204	500	2.230	175
2.256	500	2.280	195
2.306	499	2.331	226
2.357	500	2.382	270
2.407	501	2.433	320
2.458	500	2.483	379
2.509	499	2.534	439
2.560	499	2.584	499
2.610	500	2.636	555
2.661	500	2.686	606
2.711	501	2.737	648
2.762	501	2.787	680
2.813	501	2.838	700
2.864	500	2.889	704
2.914	501	2.940	698
2.965	500	2.991	678
3.015	501	3.041	647
3.067	501	3.092	604
3.117	502	3.142	556
3.168	501	3.194	500
3.218	502	3.244	442
3.269	501	3.295	382
3.320	501	3.345	326
3.371	501	3.396	275
3.421	500	3.447	232
3.472	501	3.498	199
3.522	501	3.548	179
3.574	500	3.599	176
3.624	500	3.649	184
3.675	500	3.700	203
3.725	500	3.751	236
3.776	498	3.802	278
3.826	499	3.852	329
3.878	499	3.903	385
3.928	499	3.953	443
3.979	499	4.005	502
4.029	500	4.055	557
4.080	500	4.106	606
4.131	500	4.156	647
4.182	500	4.207	677
4.232	501	4.258	695
4.283	501	4.309	699
4.333	501	4.359	690
4.385	503	4.410	671
4.435	504	4.460	639
4.486	502	4.511	598
4.536	502	4.562	549
4.587	502	4.613	494
4.637	500	4.663	436
4.689	503	4.714	378
4.739	499	4.764	324
4.790	502	4.816	275
4.840	501	4.866	233
4.891	501	4.917	204
4.942	501	4.967	186
4.993	500	5.018	182
5.043	500	5.069	192
5.094	500	5.120	212
5.144	499	5.170	245
5.196	499	5.221	287
5.246	499	5.271	337
5.297	499	5.322	392
5.347	499	5.373	450
5.398	499	5.424	507
5.448	499	5.474	559
5.500	500	5.525	606
5.550	500	5.575	644
5.601	501	5.627	674
5.651	501	5.677	689
5.702	501	5.728	693
5.753	502	5.778	682
5.804	502	5.829	663
5.854	502	5.880	631
5.905	502	5.931	590
5.955	503	5.981	543
6.007	502	6.032	488
6.057	502	6.082	432
6.108	502	6.134	375
6.158	502	6.184	323
6.209	501	6.235	276
6.259	499	6.285	235
6.311	500	6.336	209
6.361	498	6.386	192
6.412	499	6.438	191
6.462	499	6.488	200
6.513	498	6.539	221
6.564	499	6.589	254
6.615	498	6.640	296
6.665	498	6.691	345
6.716	497	6.742	399
6.766	499	6.792	455
6.818	499	6.843	509
6.868	499	6.893	561
6.919	500	6.945	606
6.969	501	6.995	643
7.020	501	7.046	671
7.070	502	7.096	685
7.122	503	7.147	686
7.172	503	7.197	676
7.223	502	7.249	656
7.273	503	7.299	624
7.324	503	7.350	583
7.375	503	7.400	535
7.426	504	7.451	482
7.476	502	7.502	427
7.527	502	7.553	373
7.577	502	7.603	321
7.629	501	7.654	276
7.679	501	7.704	240
7.730	500	7.756	212
7.780	499	7.806	198
7.831	499	7.857	198
7.881	499	7.907	207
7.933	498	7.958	230
7.983	498	8.008	262
8.034	497	8.060	304
8.084	498	8.110	351
8.135	497	8.161	405
8.186	498	8.211	461
8.237	499	8.262	513
8.287	500	8.313	563
8.338	500	8.364	606
8.388	501	8.414	642
8.440	501	8.465	667
8.490	503	8.515	680
8.541	503	8.567	680
8.591	502	8.617	669
8.642	502	8.668	648
8.692	503	8.718	616
8.744	503	8.769	576
8.795	504	8.819	528
8.845	503	8.871	475
8.896	502	8.921	422
8.946	501	8.972	370
8.998	501	9.022	322
9.048	500	9.073	276
9.099	500	9.124	242
9.149	499	9.175	217
9.200	499	9.225	203
9.251	498	9.276	205
9.302	498	9.326	215
9.352	499	9.378	237
9.403	498	9.428	271
9.453	497	9.479	313
9.505	498	9.529	360
9.555	499	9.580	412
9.606	499	9.630	465
9.656	499	9.682	516
9.707	500	9.732	562
9.757	501	9.783	606
9.809	502	9.833	640
9.859	503	9.884	663
9.910	503	9.935	674
9.960	503	9.986	673
10.011	503	10.036	664
10.062	503	10.087	641
10.113	503	10.137	608
10.163	503	10.189	568
10.214	502	10.239	522
10.264	503	10.290	470
10.316	503	10.340	417
10.366	501	10.391	367
10.417	501	10.441	320
10.467	500	10.493	278
10.518	499	10.543	244
10.568	499	10.594	221
10.620	499	10.644	210
10.670	498	10.695	212
10.721	496	10.746	222
10.771	497	10.797	245
10.822	498	10.847	279
10.873	498	10.898	320
10.924	498	10.948	367
10.974	498	11.000	417
11.025	499	11.050	468
11.075	499	11.101	520
11.127	500	11.151	566
11.177	501	11.202	606
11.228	501	11.252	637
11.278	503	11.304	659
11.329	504	11.354	669
11.379	503	11.405	667
11.431	504	11.455	656
11.481	503	11.506	634
11.532	504	11.557	601
11.582	504	11.608	561
11.633	503	11.658	515
11.684	502	11.709	465
11.735	501	11.760	414
11.785	501	11.811	365
11.836	500	11.862	319
11.886	500	11.912	279
11.938	499	11.963	247
11.988	498	12.013	224
12.039	498	12.065	216
12.089	497	12.115	218
12.140	498	12.166	230
12.190	498	12.216	254
12.242	498	12.267	287
12.292	497	12.317	326
12.343	498	12.369	375
12.393	499	12.419	424
12.444	499	12.470	472
12.495	501	12.520	523
12.546	500	12.571	567
12.596	502	12.622	605
12.647	501	12.673	636
12.697	502	12.723	657
12.749	503	12.774	664
12.799	504	12.824	661
12.850	504	12.876	649
12.900	503	12.926	623
12.951	503	12.977	593
13.001	503	13.027	555
13.053	502	13.078	510
13.103	502	13.128	460
13.154	501	13.180	410
