#Creator: pendulumviewEventBuffer
#Creation time: Tue Mar 12 17:31:44 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	501	0.051	298
0.076	501	0.101	350
0.127	501	0.153	406
0.177	500	0.203	463
0.228	499	0.254	519
0.279	499	0.304	571
0.330	500	0.355	618
0.380	500	0.406	653
0.431	500	0.457	681
0.481	500	0.507	695
0.533	500	0.558	696
0.583	500	0.608	683
0.634	501	0.660	662
0.684	500	0.710	629
0.735	501	0.761	587
0.785	500	0.811	537
0.837	500	0.862	483
0.887	499	0.912	427
0.938	500	0.964	371
0.988	500	1.014	320
1.039	500	1.065	274
1.091	499	1.115	238
1.141	500	1.166	211
1.192	500	1.217	197
1.242	500	1.268	197
1.293	500	1.318	209
1.344	500	1.369	231
1.395	499	1.419	266
1.445	500	1.471	309
1.496	499	1.521	360
1.546	500	1.572	413
1.597	500	1.622	468
1.648	498	1.673	522
1.699	500	1.723	573
1.749	501	1.775	616
1.800	500	1.825	651
1.850	500	1.876	677
1.902	500	1.926	688
1.952	500	1.977	688
2.003	500	2.028	675
2.053	501	2.079	654
2.104	501	2.129	621
2.155	501	2.180	579
2.206	500	2.230	531
2.256	501	2.282	478
2.307	501	2.332	423
2.357	500	2.383	370
2.408	500	2.433	320
2.459	500	2.484	276
2.510	500	2.534	241
2.560	500	2.586	216
2.611	500	2.636	204
2.661	500	2.687	205
2.713	499	2.737	217
2.763	499	2.788	240
2.814	499	2.839	274
2.864	499	2.890	317
2.915	499	2.940	365
2.966	499	2.991	418
3.017	499	3.041	472
3.067	499	3.093	525
3.118	499	3.143	573
3.168	499	3.194	615
3.220	500	3.244	649
3.270	501	3.295	672
3.321	501	3.345	683
3.371	500	3.397	681
3.422	500	3.447	670
3.472	501	3.498	647
3.524	502	3.548	613
3.574	501	3.599	571
3.625	500	3.650	524
3.675	501	3.701	473
3.726	501	3.751	418
3.777	501	3.802	366
3.828	501	3.852	318
3.878	501	3.904	276
3.929	500	3.954	243
3.979	500	4.005	220
4.031	500	4.055	210
